City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
244,Najran,SA,17.4924,44.1277,66.85,29,11,1.92,few clouds
245,Mogadishu,SO,2.0371,45.3438,80.08,73,100,11.9,overcast clouds
246,Vila Velha,BR,-20.3297,-40.2925,73.35,73,75,4.0,broken clouds
247,Vestmannaeyjar,IS,63.4427,-20.2734,43.5,81,100,20.58,overcast clouds
248,Neyshabur,IR,36.2133,58.7958,54.81,56,100,5.59,overcast clouds
249,Guerrero Negro,MX,27.9769,-114.0611,80.73,25,100,2.06,overcast clouds
250,Ugoofaaru,MV,5.6667,73.0,80.98,78,98,15.1,overcast clouds
251,Eyrarbakki,IS,63.863,-21.1481,41.2,74,100,19.71,overcast clouds
252,Male,MV,4.1748,73.5089,82.35,78,75,17.27,broken clouds
253,Pisco,PE,-13.7,-76.2167,68.05,77,90,5.75,overcast clouds
254,Montepuez,MZ,-13.1256,38.9997,72.73,72,2,7.76,clear sky
255,Vysokogornyy,RU,50.1167,139.15,26.1,92,100,28.27,light snow
256,Yar-Sale,RU,66.8333,70.8333,16.45,95,100,9.35,light snow
257,Rundu,NA,-17.9333,19.7667,68.49,77,75,6.2,broken clouds
258,Sabha,LY,27.0377,14.4283,68.97,33,86,7.25,overcast clouds
259,Adrar,MR,20.5022,-10.0711,79.0,37,100,10.09,overcast clouds
260,Asau,RO,46.4333,26.4,46.4,68,100,1.05,overcast clouds
261,Ponta Do Sol,PT,32.6667,-17.1,68.72,71,96,10.22,overcast clouds
262,Hanstholm,DK,57.1167,8.6167,47.68,82,8,25.34,clear sky
263,Mantua,IT,45.1667,10.7833,54.73,91,100,1.99,overcast clouds
264,Zvecka,RS,44.6389,20.1647,43.12,93,100,5.91,light rain
265,San Quintin,MX,30.4833,-115.95,71.94,45,100,9.08,overcast clouds
266,Avera,US,33.194,-82.5271,66.25,53,47,14.14,scattered clouds
267,Bimbo,CF,4.2567,18.4158,74.7,76,98,2.98,overcast clouds
268,Pangnirtung,CA,66.1451,-65.7125,24.8,86,90,12.66,light snow
269,Shenjiamen,CN,29.9576,122.298,45.72,53,37,16.69,scattered clouds
270,Tomatlan,MX,19.9333,-105.25,85.46,52,73,7.94,broken clouds
271,Ciudad Bolivar,VE,8.1222,-63.5497,84.94,61,95,4.63,overcast clouds
272,Birao,CF,10.2849,22.7882,72.79,25,95,5.91,overcast clouds
273,Ornskoldsvik,SE,63.2909,18.7153,23.95,93,56,9.22,broken clouds
